Forecast_Week,Store_ID,SKU_ID,unique_id,Geography,Region,Cluster,Ownership,Category,Sub_Category,Segment,Attribute_Claim,Brand,List_Price_USD,Unit_Cost_USD,LightGBM_Forecast,Forecast_Lower,Forecast_Upper,Final_Forecast,Selected_Model,Total_Sales,Total_Sales_Lower,Total_Sales_Upper,Total_Margin,Total_Margin_Lower,Total_Margin_Upper
2026-27,ST01,SKU0002,ST01_SKU0002,West,West,Premium Urban,Own,Hair Care,Hair Color,Premium,Sulphate Free,EarthTress,37.29,23.12,429.9481713022581,269.44334723249625,601.3555569504873,429.9481713022581,LightGBM,16032.77,10047.54,22424.55,6092.37,3818.01,8521.21
2026-28,ST01,SKU0002,ST01_SKU0002,West,West,Premium Urban,Own,Hair Care,Hair Color,Premium,Sulphate Free,EarthTress,37.29,23.12,434.8211791706127,272.1531364133062,546.3862039759532,434.8211791706127,LightGBM,16214.48,10148.59,20374.74,6161.42,3856.41,7742.29
2026-23,ST01,SKU0003,ST01_SKU0003,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Mainstream,Anti Hair Fall,VitalStrand,15.46,11.13,7.93895052331588,0.0,24.508406965979592,7.93895052331588,LightGBM,122.74,0.0,378.9,34.38,0.0,106.12
2026-24,ST01,SKU0003,ST01_SKU0003,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Mainstream,Anti Hair Fall,VitalStrand,15.46,11.13,9.301837130359665,0.0,23.585860718837083,9.301837130359665,LightGBM,143.81,0.0,364.64,40.28,0.0,102.13
2026-25,ST01,SKU0003,ST01_SKU0003,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Mainstream,Anti Hair Fall,VitalStrand,15.46,11.13,9.967628397626354,0.0,30.575896448524276,9.967628397626354,LightGBM,154.1,0.0,472.7,43.16,0.0,132.39
2026-26,ST01,SKU0003,ST01_SKU0003,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Mainstream,Anti Hair Fall,VitalStrand,15.46,11.13,10.700623439997594,0.04349355286625782,28.565510685222552,10.700623439997594,LightGBM,165.43,0.67,441.62,46.33,0.19,123.69
2026-27,ST01,SKU0003,ST01_SKU0003,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Mainstream,Anti Hair Fall,VitalStrand,15.46,11.13,7.80120184698576,1.7764224418330568,18.028945900583413,7.80120184698576,LightGBM,120.61,27.46,278.73,33.78,7.69,78.07
2026-28,ST01,SKU0003,ST01_SKU0003,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Mainstream,Anti Hair Fall,VitalStrand,15.46,11.13,7.353290803084588,1.7450625578567094,19.346706776652958,7.353290803084588,LightGBM,113.68,26.98,299.1,31.84,7.56,83.77
2026-23,ST01,SKU0004,ST01_SKU0004,West,West,Premium Urban,Competitor,Hair Care,Treatment,Economy,Anti Hair Fall,PureMane,14.67,11.0,13.427826607421013,0.0,26.367121978677222,13.427826607421013,LightGBM,196.99,0.0,386.81,49.28,0.0,96.77
2026-24,ST01,SKU0004,ST01_SKU0004,West,West,Premium Urban,Competitor,Hair Care,Treatment,Economy,Anti Hair Fall,PureMane,14.67,11.0,13.507397753946558,0.0,30.72739088242442,13.507397753946558,LightGBM,198.15,0.0,450.77,49.57,0.0,112.77
2026-25,ST01,SKU0004,ST01_SKU0004,West,West,Premium Urban,Competitor,Hair Care,Treatment,Economy,Anti Hair Fall,PureMane,14.67,11.0,13.129343072817578,0.011493383624028804,28.868327694585236,13.129343072817578,LightGBM,192.61,0.17,423.5,48.18,0.04,105.95
2026-26,ST01,SKU0004,ST01_SKU0004,West,West,Premium Urban,Competitor,Hair Care,Treatment,Economy,Anti Hair Fall,PureMane,14.67,11.0,12.253672997597779,0.03123981824677825,32.1461229184396,12.253672997597779,LightGBM,179.76,0.46,471.58,44.97,0.11,117.98
2026-27,ST01,SKU0004,ST01_SKU0004,West,West,Premium Urban,Competitor,Hair Care,Treatment,Economy,Anti Hair Fall,PureMane,14.67,11.0,8.926576072189643,2.4117077737177413,29.23062452778309,8.926576072189643,LightGBM,130.95,35.38,428.81,32.76,8.85,107.28
2026-28,ST01,SKU0004,ST01_SKU0004,West,West,Premium Urban,Competitor,Hair Care,Treatment,Economy,Anti Hair Fall,PureMane,14.67,11.0,8.779895813887737,0.7305074067591582,21.701224941110432,8.779895813887737,LightGBM,128.8,10.72,318.36,32.22,2.68,79.64
2026-23,ST01,SKU0005,ST01_SKU0005,West,West,Premium Urban,Own,Hair Care,Treatment,Economy,Herbal,Lustra Botanix,8.41,6.81,3.9015621406797236,0.0,47.23205689299364,3.9015621406797236,LightGBM,32.81,0.0,397.22,6.24,0.0,75.57
2026-24,ST01,SKU0005,ST01_SKU0005,West,West,Premium Urban,Own,Hair Care,Treatment,Economy,Herbal,Lustra Botanix,8.41,6.81,4.535654490015966,0.0,31.83282194980266,4.535654490015966,LightGBM,38.14,0.0,267.71,7.26,0.0,50.93
2026-25,ST01,SKU0005,ST01_SKU0005,West,West,Premium Urban,Own,Hair Care,Treatment,Economy,Herbal,Lustra Botanix,8.41,6.81,5.096818853324337,0.0,36.426722106484426,5.096818853324337,LightGBM,42.86,0.0,306.35,8.15,0.0,58.28
2026-26,ST01,SKU0005,ST01_SKU0005,West,West,Premium Urban,Own,Hair Care,Treatment,Economy,Herbal,Lustra Botanix,8.41,6.81,5.372215547941484,0.0,27.025034045363213,5.372215547941484,LightGBM,45.18,0.0,227.28,8.6,0.0,43.24
2026-27,ST01,SKU0005,ST01_SKU0005,West,West,Premium Urban,Own,Hair Care,Treatment,Economy,Herbal,Lustra Botanix,8.41,6.81,2.2014873541061015,0.8776138120272319,12.276934583069389,2.2014873541061015,LightGBM,18.51,7.38,103.25,3.52,1.4,19.64
2026-28,ST01,SKU0005,ST01_SKU0005,West,West,Premium Urban,Own,Hair Care,Treatment,Economy,Herbal,Lustra Botanix,8.41,6.81,2.5027181397053737,0.050847670874830914,7.936104129403034,2.5027181397053737,LightGBM,21.05,0.43,66.74,4.0,0.08,12.7
2026-23,ST01,SKU0006,ST01_SKU0006,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Premium,Color Protection,GlossRoot,39.14,30.14,401.996029192946,247.9742134603104,511.20043284413305,401.996029192946,LightGBM,15734.12,9705.71,20008.38,3617.96,2231.77,4600.8
2026-24,ST01,SKU0006,ST01_SKU0006,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Premium,Color Protection,GlossRoot,39.14,30.14,414.9331721049965,256.00206507075507,495.5082328019879,414.9331721049965,LightGBM,16240.48,10019.92,19394.19,3734.4,2304.02,4459.57
2026-25,ST01,SKU0006,ST01_SKU0006,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Premium,Color Protection,GlossRoot,39.14,30.14,381.7051748121375,253.4785187744519,491.96407098827393,381.7051748121375,LightGBM,14939.94,9921.15,19255.47,3435.35,2281.31,4427.68
2026-26,ST01,SKU0006,ST01_SKU0006,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Premium,Color Protection,GlossRoot,39.14,30.14,389.3115891322675,258.22287363829145,524.9511346294665,389.3115891322675,LightGBM,15237.66,10106.84,20546.59,3503.8,2324.01,4724.56
2026-27,ST01,SKU0006,ST01_SKU0006,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Premium,Color Protection,GlossRoot,39.14,30.14,422.98760006936806,268.4231434836738,548.7814298324226,422.98760006936806,LightGBM,16555.73,10506.08,21479.31,3806.89,2415.81,4939.03
2026-28,ST01,SKU0006,ST01_SKU0006,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Premium,Color Protection,GlossRoot,39.14,30.14,461.6153640324762,274.2908347853839,564.4234162038765,461.6153640324762,LightGBM,18067.63,10735.74,22091.53,4154.54,2468.62,5079.81
2026-23,ST01,SKU0007,ST01_SKU0007,West,West,Premium Urban,Own,Hair Care,Hair Color,Mainstream,Color Protection,EarthTress,16.36,10.14,67.61430476820028,28.34512669113189,119.20364176432307,67.61430476820028,LightGBM,1106.17,463.73,1950.17,420.56,176.31,741.45
2026-24,ST01,SKU0007,ST01_SKU0007,West,West,Premium Urban,Own,Hair Care,Hair Color,Mainstream,Color Protection,EarthTress,16.36,10.14,76.92663003206256,34.28697560815851,129.70915808836614,76.92663003206256,LightGBM,1258.52,560.93,2122.04,478.48,213.26,806.79
2026-25,ST01,SKU0007,ST01_SKU0007,West,West,Premium Urban,Own,Hair Care,Hair Color,Mainstream,Color Protection,EarthTress,16.36,10.14,81.82923445487783,30.636713434551517,135.29936945805818,81.82923445487783,LightGBM,1338.73,501.22,2213.5,508.98,190.56,841.56
2026-26,ST01,SKU0007,ST01_SKU0007,West,West,Premium Urban,Own,Hair Care,Hair Color,Mainstream,Color Protection,EarthTress,16.36,10.14,80.29587076738763,28.897227147946023,130.87238612353713,80.29587076738763,LightGBM,1313.64,472.76,2141.07,499.44,179.74,814.03
2026-27,ST01,SKU0007,ST01_SKU0007,West,West,Premium Urban,Own,Hair Care,Hair Color,Mainstream,Color Protection,EarthTress,16.36,10.14,82.2497119000458,32.73774141577773,132.6636750978326,82.2497119000458,LightGBM,1345.61,535.59,2170.38,511.59,203.63,825.17
2026-28,ST01,SKU0007,ST01_SKU0007,West,West,Premium Urban,Own,Hair Care,Hair Color,Mainstream,Color Protection,EarthTress,16.36,10.14,84.6459213681833,33.98074863871223,133.37066314210804,84.6459213681833,LightGBM,1384.81,555.93,2181.94,526.5,211.36,829.57
2026-23,ST01,SKU0008,ST01_SKU0008,West,West,Premium Urban,Own,Hair Care,Treatment,Economy,Color Protection,Lustra Botanix,14.08,8.59,17.609612046992495,0.004425016311645025,43.33147662630801,17.609612046992495,LightGBM,247.94,0.06,610.11,96.68,0.02,237.89
2026-24,ST01,SKU0008,ST01_SKU0008,West,West,Premium Urban,Own,Hair Care,Treatment,Economy,Color Protection,Lustra Botanix,14.08,8.59,18.882129217291585,0.043789349040631746,43.34803475886803,18.882129217291585,LightGBM,265.86,0.62,610.34,103.66,0.24,237.98
2026-25,ST01,SKU0008,ST01_SKU0008,West,West,Premium Urban,Own,Hair Care,Treatment,Economy,Color Protection,Lustra Botanix,14.08,8.59,17.425516613325566,0.45158022896597916,45.593168145233385,17.425516613325566,LightGBM,245.35,6.36,641.95,95.67,2.48,250.31
2026-26,ST01,SKU0008,ST01_SKU0008,West,West,Premium Urban,Own,Hair Care,Treatment,Economy,Color Protection,Lustra Botanix,14.08,8.59,17.23099000568845,0.1865648010729449,44.2334316029577,17.23099000568845,LightGBM,242.61,2.63,622.81,94.6,1.02,242.84
2026-27,ST01,SKU0008,ST01_SKU0008,West,West,Premium Urban,Own,Hair Care,Treatment,Economy,Color Protection,Lustra Botanix,14.08,8.59,15.128705456152987,2.519196744335004,40.76121624397078,15.128705456152987,LightGBM,213.01,35.47,573.92,83.06,13.83,223.78
2026-28,ST01,SKU0008,ST01_SKU0008,West,West,Premium Urban,Own,Hair Care,Treatment,Economy,Color Protection,Lustra Botanix,14.08,8.59,15.429936241752253,2.821348702110722,36.814809533177936,15.429936241752253,LightGBM,217.25,39.72,518.35,84.71,15.49,202.11
2026-23,ST01,SKU0009,ST01_SKU0009,West,West,Premium Urban,Competitor,Hair Care,Hair Mask,Mainstream,Herbal,SilkenAura,22.39,14.78,90.9844379110718,39.51955456176125,162.20202384240145,90.9844379110718,LightGBM,2037.14,884.84,3631.7,692.39,300.74,1234.36
2026-24,ST01,SKU0009,ST01_SKU0009,West,West,Premium Urban,Competitor,Hair Care,Hair Mask,Mainstream,Herbal,SilkenAura,22.39,14.78,94.93413561193695,42.2242820366602,166.4508559373293,94.93413561193695,LightGBM,2125.58,945.4,3726.83,722.45,321.33,1266.69
2026-25,ST01,SKU0009,ST01_SKU0009,West,West,Premium Urban,Competitor,Hair Care,Hair Mask,Mainstream,Herbal,SilkenAura,22.39,14.78,95.55453297247581,38.369159923195575,166.60115862342266,95.55453297247581,LightGBM,2139.47,859.09,3730.2,727.17,291.99,1267.83
2026-26,ST01,SKU0009,ST01_SKU0009,West,West,Premium Urban,Competitor,Hair Care,Hair Mask,Mainstream,Herbal,SilkenAura,22.39,14.78,85.57536404823139,31.017917388698322,133.50307264321972,85.57536404823139,LightGBM,1916.03,694.49,2989.13,651.23,236.05,1015.96
2026-27,ST01,SKU0009,ST01_SKU0009,West,West,Premium Urban,Competitor,Hair Care,Hair Mask,Mainstream,Herbal,SilkenAura,22.39,14.78,78.58856326780862,32.03927645772236,121.86888068524392,78.58856326780862,LightGBM,1759.6,717.36,2728.64,598.06,243.82,927.42
2026-28,ST01,SKU0009,ST01_SKU0009,West,West,Premium Urban,Competitor,Hair Care,Hair Mask,Mainstream,Herbal,SilkenAura,22.39,14.78,77.99943673988949,31.829588471843977,123.7176702714886,77.99943673988949,LightGBM,1746.41,712.66,2770.04,593.58,242.22,941.49
2026-23,ST01,SKU0010,ST01_SKU0010,West,West,Premium Urban,Own,Hair Care,Hair Color,Premium,Argan Oil,EarthTress,31.41,22.93,398.6472728857898,260.6315327419265,538.332333109892,398.6472728857898,LightGBM,12521.51,8186.44,16909.02,3380.53,2210.16,4565.06
2026-24,ST01,SKU0010,ST01_SKU0010,West,West,Premium Urban,Own,Hair Care,Hair Color,Premium,Argan Oil,EarthTress,31.41,22.93,409.7174692953833,264.3081848247764,540.5633136542926,409.7174692953833,LightGBM,12869.23,8301.92,16979.09,3474.4,2241.33,4583.98
2026-25,ST01,SKU0010,ST01_SKU0010,West,West,Premium Urban,Own,Hair Care,Hair Color,Premium,Argan Oil,EarthTress,31.41,22.93,421.40456971090714,272.4996448975155,555.5118676143736,421.40456971090714,LightGBM,13236.32,8559.21,17448.63,3573.51,2310.8,4710.74
2026-26,ST01,SKU0010,ST01_SKU0010,West,West,Premium Urban,Own,Hair Care,Hair Color,Premium,Argan Oil,EarthTress,31.41,22.93,433.6074082487239,271.2264154799474,564.5578058970814,433.6074082487239,LightGBM,13619.61,8519.22,17732.76,3676.99,2300.0,4787.45
2026-27,ST01,SKU0010,ST01_SKU0010,West,West,Premium Urban,Own,Hair Care,Hair Color,Premium,Argan Oil,EarthTress,31.41,22.93,437.7344836110925,272.0471663169373,554.837819193626,437.7344836110925,LightGBM,13749.24,8545.0,17427.46,3711.99,2306.96,4705.02
2026-28,ST01,SKU0010,ST01_SKU0010,West,West,Premium Urban,Own,Hair Care,Hair Color,Premium,Argan Oil,EarthTress,31.41,22.93,452.88474606853083,271.2264154799474,594.7861690049783,452.88474606853083,LightGBM,14225.11,8519.22,18682.23,3840.46,2300.0,5043.79
2026-23,ST01,SKU0011,ST01_SKU0011,West,West,Premium Urban,Competitor,Hair Care,Hair Oil,Mainstream,Argan Oil,NourishLab,16.06,10.92,13.697601202995635,0.12447119059299079,41.96122591859364,13.697601202995635,LightGBM,219.98,2.0,673.9,70.41,0.64,215.68
2026-24,ST01,SKU0011,ST01_SKU0011,West,West,Premium Urban,Competitor,Hair Care,Hair Oil,Mainstream,Argan Oil,NourishLab,16.06,10.92,17.02282549664867,0.0,43.95498404753482,17.02282549664867,LightGBM,273.39,0.0,705.92,87.5,0.0,225.93
2026-25,ST01,SKU0011,ST01_SKU0011,West,West,Premium Urban,Competitor,Hair Care,Hair Oil,Mainstream,Argan Oil,NourishLab,16.06,10.92,16.39292716502199,0.030562092095921804,41.06527342543584,16.39292716502199,LightGBM,263.27,0.49,659.51,84.26,0.16,211.08
2026-26,ST01,SKU0011,ST01_SKU0011,West,West,Premium Urban,Competitor,Hair Care,Hair Oil,Mainstream,Argan Oil,NourishLab,16.06,10.92,16.315710866613998,0.04743290776610716,41.09068682354997,16.315710866613998,LightGBM,262.03,0.76,659.92,83.86,0.24,211.21
2026-27,ST01,SKU0011,ST01_SKU0011,West,West,Premium Urban,Competitor,Hair Care,Hair Oil,Mainstream,Argan Oil,NourishLab,16.06,10.92,16.393406589789763,1.6848904134388882,35.8309689636924,16.393406589789763,LightGBM,263.28,27.06,575.45,84.26,8.66,184.17
2026-28,ST01,SKU0011,ST01_SKU0011,West,West,Premium Urban,Competitor,Hair Care,Hair Oil,Mainstream,Argan Oil,NourishLab,16.06,10.92,16.092175804190493,3.205967498515551,41.277036522017305,16.092175804190493,LightGBM,258.44,51.49,662.91,82.71,16.48,212.16
2026-23,ST01,SKU0012,ST01_SKU0012,West,West,Premium Urban,Competitor,Hair Care,Hair Serum,Mainstream,Color Protection,GlossRoot,17.19,10.31,16.847883069126823,0.0,47.61476027161052,16.847883069126823,LightGBM,289.62,0.0,818.5,115.91,0.0,327.59
2026-24,ST01,SKU0012,ST01_SKU0012,West,West,Premium Urban,Competitor,Hair Care,Hair Serum,Mainstream,Color Protection,GlossRoot,17.19,10.31,19.374073565586137,0.0,44.45589304328787,19.374073565586137,LightGBM,333.04,0.0,764.2,133.29,0.0,305.86
2026-25,ST01,SKU0012,ST01_SKU0012,West,West,Premium Urban,Competitor,Hair Care,Hair Serum,Mainstream,Color Protection,GlossRoot,17.19,10.31,23.355990249483973,0.0,49.83213332143067,23.355990249483973,LightGBM,401.49,0.0,856.61,160.69,0.0,342.85
2026-26,ST01,SKU0012,ST01_SKU0012,West,West,Premium Urban,Competitor,Hair Care,Hair Serum,Mainstream,Color Protection,GlossRoot,17.19,10.31,20.581302027184705,0.04515147831231206,47.830576290521655,20.581302027184705,LightGBM,353.79,0.78,822.21,141.6,0.31,329.07
2026-27,ST01,SKU0012,ST01_SKU0012,West,West,Premium Urban,Competitor,Hair Care,Hair Serum,Mainstream,Color Protection,GlossRoot,17.19,10.31,18.73285729505971,1.0608182106407458,44.73435993574931,18.73285729505971,LightGBM,322.02,18.24,768.98,128.88,7.3,307.77
2026-28,ST01,SKU0012,ST01_SKU0012,West,West,Premium Urban,Competitor,Hair Care,Hair Serum,Mainstream,Color Protection,GlossRoot,17.19,10.31,23.67307372879842,4.152287627533251,49.94750322331996,23.67307372879842,LightGBM,406.94,71.38,858.6,162.87,28.57,343.64
2026-23,ST01,SKU0013,ST01_SKU0013,West,West,Premium Urban,Competitor,Hair Care,Hair Serum,Mainstream,Argan Oil,SilkenAura,27.4,21.92,699.9369671145078,462.1107605040332,872.2080755638674,699.9369671145078,LightGBM,19178.27,12661.83,23898.5,3835.65,2532.37,4779.7
2026-24,ST01,SKU0013,ST01_SKU0013,West,West,Premium Urban,Competitor,Hair Care,Hair Serum,Mainstream,Argan Oil,SilkenAura,27.4,21.92,716.807882366271,464.4132798074535,882.9858030867362,716.807882366271,LightGBM,19640.54,12724.92,24193.81,3928.11,2544.98,4838.76
2026-25,ST01,SKU0013,ST01_SKU0013,West,West,Premium Urban,Competitor,Hair Care,Hair Serum,Mainstream,Argan Oil,SilkenAura,27.4,21.92,721.002685932874,455.33760534903126,879.9887295572014,721.002685932874,LightGBM,19755.47,12476.25,24111.69,3951.09,2495.25,4822.34
2026-26,ST01,SKU0013,ST01_SKU0013,West,West,Premium Urban,Competitor,Hair Care,Hair Serum,Mainstream,Argan Oil,SilkenAura,27.4,21.92,745.7633117901529,461.09760846717523,869.3758973701878,745.7633117901529,LightGBM,20433.91,12634.07,23820.9,4086.78,2526.81,4764.18
2026-27,ST01,SKU0013,ST01_SKU0013,West,West,Premium Urban,Competitor,Hair Care,Hair Serum,Mainstream,Argan Oil,SilkenAura,27.4,21.92,815.9050841744962,481.73603043096745,910.3338657482569,815.9050841744962,LightGBM,22355.8,13199.57,24943.15,4471.16,2639.91,4988.63
2026-28,ST01,SKU0013,ST01_SKU0013,West,West,Premium Urban,Competitor,Hair Care,Hair Serum,Mainstream,Argan Oil,SilkenAura,27.4,21.92,696.8025905656449,468.99548982403434,916.6792118487856,696.8025905656449,LightGBM,19092.39,12850.48,25117.01,3818.48,2570.1,5023.4
2026-23,ST01,SKU0014,ST01_SKU0014,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Mainstream,Color Protection,VitalStrand,15.97,12.14,15.56381895885228,0.0,37.827727445316995,15.56381895885228,LightGBM,248.55,0.0,604.11,59.61,0.0,144.88
2026-24,ST01,SKU0014,ST01_SKU0014,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Mainstream,Color Protection,VitalStrand,15.97,12.14,17.683482912142594,0.018973303338186292,44.404278840780194,17.683482912142594,LightGBM,282.41,0.3,709.14,67.73,0.07,170.07
2026-25,ST01,SKU0014,ST01_SKU0014,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Mainstream,Color Protection,VitalStrand,15.97,12.14,19.546323937158924,0.057875063902380335,43.712020032357934,19.546323937158924,LightGBM,312.15,0.92,698.08,74.86,0.22,167.42
2026-26,ST01,SKU0014,ST01_SKU0014,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Mainstream,Color Protection,VitalStrand,15.97,12.14,18.09559306663879,0.03922142275247292,44.0999015427894,18.09559306663879,LightGBM,288.99,0.63,704.28,69.31,0.15,168.9
2026-27,ST01,SKU0014,ST01_SKU0014,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Mainstream,Color Protection,VitalStrand,15.97,12.14,17.37161425005622,1.7702937097984652,36.52637590411524,17.37161425005622,LightGBM,277.42,28.27,583.33,66.53,6.78,139.9
2026-28,ST01,SKU0014,ST01_SKU0014,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Mainstream,Color Protection,VitalStrand,15.97,12.14,17.07038346445694,3.2374001718332392,41.73877457390254,17.07038346445694,LightGBM,272.61,51.7,666.57,65.38,12.4,159.86
2026-23,ST01,SKU0015,ST01_SKU0015,West,West,Premium Urban,Own,Hair Care,Hair Color,Premium,Keratin,Velinea,43.21,29.81,395.11612180120943,253.3158773601652,543.8710578309045,395.11612180120943,LightGBM,17072.97,10945.78,23500.67,5294.56,3394.43,7287.87
2026-24,ST01,SKU0015,ST01_SKU0015,West,West,Premium Urban,Own,Hair Care,Hair Color,Premium,Keratin,Velinea,43.21,29.81,384.0900062502521,257.34093893728897,533.5246068924438,384.0900062502521,LightGBM,16596.53,11119.7,23053.6,5146.81,3448.37,7149.23
2026-25,ST01,SKU0015,ST01_SKU0015,West,West,Premium Urban,Own,Hair Care,Hair Color,Premium,Keratin,Velinea,43.21,29.81,398.49879179787087,257.10842287351005,542.3093264304076,398.49879179787087,LightGBM,17219.13,11109.65,23433.19,5339.88,3445.25,7266.94
2026-26,ST01,SKU0015,ST01_SKU0015,West,West,Premium Urban,Own,Hair Care,Hair Color,Premium,Keratin,Velinea,43.21,29.81,399.9194281827079,259.54173425803793,547.2045383419761,399.9194281827079,LightGBM,17280.52,11214.8,23644.71,5358.92,3477.86,7332.54
2026-27,ST01,SKU0015,ST01_SKU0015,West,West,Premium Urban,Own,Hair Care,Hair Color,Premium,Keratin,Velinea,43.21,29.81,415.537513190708,267.7274118440376,557.0750775478259,415.537513190708,LightGBM,17955.38,11568.5,24071.21,5568.2,3587.55,7464.81
2026-28,ST01,SKU0015,ST01_SKU0015,West,West,Premium Urban,Own,Hair Care,Hair Color,Premium,Keratin,Velinea,43.21,29.81,406.5940986616575,269.43425262784524,556.8825138050302,406.5940986616575,LightGBM,17568.93,11642.25,24062.89,5448.36,3610.42,7462.23
2026-23,ST01,SKU0016,ST01_SKU0016,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Mainstream,Anti Dandruff,NourishLab,23.49,13.39,36.27558483027638,5.286054912538646,75.78471839761283,36.27558483027638,LightGBM,852.11,124.17,1780.18,366.38,53.39,765.43
2026-24,ST01,SKU0016,ST01_SKU0016,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Mainstream,Anti Dandruff,NourishLab,23.49,13.39,34.498755741243905,1.7884900563971557,63.75513797917254,34.498755741243905,LightGBM,810.38,42.01,1497.61,348.44,18.06,643.93
2026-25,ST01,SKU0016,ST01_SKU0016,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Mainstream,Anti Dandruff,NourishLab,23.49,13.39,31.33275494711249,1.7891941373328755,62.741318575471524,31.33275494711249,LightGBM,736.01,42.03,1473.79,316.46,18.07,633.69
2026-26,ST01,SKU0016,ST01_SKU0016,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Mainstream,Anti Dandruff,NourishLab,23.49,13.39,35.611584962981055,3.9330616202461117,66.13934255929638,35.611584962981055,LightGBM,836.52,92.39,1553.61,359.68,39.72,668.01
2026-27,ST01,SKU0016,ST01_SKU0016,West,West,Premium Urban,Competitor,Hair Care,Hair Color,Mainstream,Anti Dandruff,NourishLab,23.49,13.39,37.62794964787405,8.09063723384384,67.57914158445521,37.62794964787405,LightGBM,883.88,190.05,1587.43,380.04,81.72,682.55
