SKU_ID,Sub_Category,ABC_Class,granularity_level,granularity_value,total_revenue,total_margin,support_in_group,avg_lift,basket_dependency_score,substitution_score,abc_signal,revenue_signal,margin_signal,support_signal,lift_signal,dependency_signal,substitution_signal,delist_score,SalesIndex,MarginIndex,VelocityIndex,InventoryEfficiency,GMROI,SentimentIndex,MarketStrengthIndex,Forecasted_Sales,Forecast_Growth_Pct,Trend_Direction,Forecast_Confidence,Health_Score,Health_Band,Delist_Band,GMROI_Band,Forecast_Band,Basket_Role,Recapture_Potential,Cannibalization_Risk,Decision,Decision_Reason,Recommended_Action,Recommendation_Narrative
SKU0023,Treatment,C,Channel,Offline,32641.99,6090.15,0.001289,1.0,0,0.0,1.0,0.7833,0.85,0.9167,0.1167,0.4917,0.275,0.7025,0.3474,0.8147,89.6804,0.4426,20.5698,0.1268,0.3522,379849.55,3.11,Upward,0.3955,0.159,LOW_HEALTH,HIGH_DELIST,HIGH_GMROI,GROWTH,Solo,0.0,0.0,INVESTIGATE,Conflicting signals: LOW_HEALTH health vs HIGH_GMROI GMROI and positive forecast growth (+3.1%). Basket role 'Solo' adds ambiguity. Manual review required before action.,Escalate to category review team. Conduct deep-dive on GMROI drivers and basket contribution before next planogram action.,"VitalStrand Biotin Treatment 500ml (C-class Treatment) within Channel 'Offline' presents conflicting performance signals that require manual category review: positive growth forecast against elevated delist pressure. Key metrics — health: 0.16, GMROI: 21, forecast growth: +3.1%, market strength: 0.35 — do not align to a clear commercial decision. Standard rule-based classification is insufficient to resolve this SKU's status. Recommend escalating to the category review team for a structured deep-dive before the next planogram reset."
SKU0020,Treatment,C,Channel,Offline,29899.1,6126.86,0.001452,1.0,0,0.0,1.0,0.8167,0.8333,0.8833,0.1167,0.4917,0.275,0.7008,0.3182,0.8948,79.7534,0.4311,20.555,0.3953,0.3528,383069.16,2.21,Upward,0.318,0.2038,LOW_HEALTH,HIGH_DELIST,HIGH_GMROI,FLAT,Solo,0.0,0.0,DELIST,"LOW_HEALTH health (0.20), HIGH_GMROI GMROI, flat forecast (+2.2%), and HIGH_DELIST delist score (0.70) all confirm removal viability.",Remove from planogram at next reset. Cancel open purchase orders. Reallocate shelf space and procurement budget to higher-performing SKUs.,"GlossRoot Damage Repair Treatment 100ml demonstrates weak commercial performance across multiple dimensions in Treatment within Channel 'Offline': health score 0.20, GMROI 21, forecast growth +2.2%, and a delist score of 0.70. Its 'Solo' basket role generates minimal co-purchase dependency, and limited direct substitutes were identified — verify recapture plan. Customer sentiment (0.40) and market strength (0.35) offer no mitigating signal strong enough to justify continued assortment inclusion. Recommend removing this SKU at the next planogram reset and reallocating shelf space and procurement budget toward higher-performing alternatives."
SKU0008,Treatment,C,Channel,Offline,29724.68,10757.96,0.00127,1.0,0,0.0,1.0,0.8333,0.7667,0.9333,0.1167,0.4917,0.275,0.6983,0.3164,1.5804,50.8403,0.3635,28.8367,0.4393,0.4667,393741.73,2.48,Upward,0.3506,0.3144,HIGH_HEALTH,MID_DELIST,HIGH_GMROI,FLAT,Solo,0.0,0.0,CONTINUE,"Solid commercial health (0.31), HIGH_GMROI GMROI, and flat forecast (+2.5%) confirm core assortment status. Delist risk is low.",Maintain current planogram allocation and supply continuity. Protect from unnecessary rationalization pressure.,"Lustra Botanix Color Protection Treatment 150ml is a solid C-class contributor to the Treatment assortment within Channel 'Offline'. Health score of 0.31, GMROI of 29, and a flat forecast (+2.5%) confirm this SKU's core assortment role. Its 'Solo' basket position — co-purchased alongside 0 co-purchased SKUs — further reinforces retention value. No immediate intervention is required. Prioritize planogram stability and supply continuity to protect consistent consumer availability."
SKU0012,Hair Serum,C,Channel,Offline,73125.01,27791.94,0.00519,0.4717,0,0.2,1.0,0.7,0.65,0.7333,0.5667,0.4917,0.55,0.6908,0.0253,1.7064,66.6861,0.3704,40.8826,0.5276,0.636,372588.15,1.21,Stable,0.2888,0.386,HIGH_HEALTH,MID_DELIST,HIGH_GMROI,FLAT,Solo,0.2,0.0,CONTINUE,"Solid commercial health (0.39), HIGH_GMROI GMROI, and flat forecast (+1.2%) confirm core assortment status. Delist risk is low.",Maintain current planogram allocation and supply continuity. Protect from unnecessary rationalization pressure.,"GlossRoot Color Protection Hair Serum 150ml is a solid C-class contributor to the Hair Serum assortment within Channel 'Offline'. Health score of 0.39, GMROI of 41, and a flat forecast (+1.2%) confirm this SKU's core assortment role. Its 'Solo' basket position — co-purchased alongside 0 co-purchased SKUs — further reinforces retention value. No immediate intervention is required. Prioritize planogram stability and supply continuity to protect consistent consumer availability."
SKU0014,Hair Color,C,Channel,Offline,30849.56,6484.58,0.001498,1.0,0,0.0,1.0,0.8,0.8,0.8667,0.1167,0.4917,0.275,0.6883,0.0101,0.7212,73.7645,0.3951,19.6319,0.0,0.556,381565.15,2.56,Upward,0.2933,0.1675,LOW_HEALTH,MID_DELIST,HIGH_GMROI,FLAT,Solo,0.0,0.0,PHASE_OUT,"Sharp forecast decline (+2.6%), LOW_HEALTH health (0.17), and MID_DELIST delist signal (0.69) indicate an unsustainable commercial trajectory.",Reduce shelf facings by ~50% at next planogram reset. Discontinue promotional support. Notify supply chain of planned exit.,"VitalStrand Color Protection Hair Color 500ml is on a declining commercial trajectory in Hair Color within Channel 'Offline'. Health score of 0.17 and forecast growth of +2.6% indicate sustained deterioration that is unlikely to reverse organically. GMROI of 20 no longer justifies continued full-range support, while a delist score of 0.69 signals growing pressure for rationalization. Recommend initiating a phased exit: reduce shelf facings by approximately 50% at the next planogram reset, discontinue promotional support, and notify the supply chain of the planned deactivation timeline to minimize write-off exposure."
SKU0042,Conditioner,C,Channel,Offline,150339.67,43940.55,0.016378,0.4926,0,1.0,1.0,0.6167,0.6333,0.4833,0.5333,0.4917,0.8917,0.6642,0.2497,0.9197,123.5727,0.4703,51.0329,0.1833,0.4569,379016.47,2.39,Upward,0.4041,0.2199,MID_HEALTH,MID_DELIST,HIGH_GMROI,FLAT,Substitutable,1.0,0.0,KEEP_WATCH,MID_HEALTH health (0.22) and MID_DELIST delist pressure with flat forecast (+2.4%). Basket role 'Substitutable' justifies short-term retention pending closer monitoring.,Maintain current distribution. Set performance trigger thresholds for the next review cycle. Avoid incremental investment.,"PureMane Herbal Conditioner 150ml is a below-average performer in Conditioner within Channel 'Offline', with a health score of 0.22 and a flat forecast (+2.4%). While commercial KPIs are under pressure — GMROI of 51 and delist score of 0.66 — the SKU's 'Substitutable' basket position (co-purchased alongside 0 co-purchased SKUs) provides a near-term justification for retention. Immediate delisting is not recommended. Set clear performance thresholds for the next review cycle and monitor sales velocity, GMROI, and substitution behavior closely before committing to further action."
SKU0037,Shampoo,C,Channel,Offline,51019.03,19145.12,0.008088,0.5659,0,0.0,1.0,0.7333,0.7333,0.6833,0.4,0.4917,0.275,0.6625,0.1362,1.2308,91.2206,0.4789,54.7918,0.9897,0.2068,376523.59,4.02,Upward,0.3873,0.287,MID_HEALTH,MID_DELIST,HIGH_GMROI,GROWTH,Solo,0.0,0.0,KEEP_WATCH,MID_HEALTH health (0.29) and MID_DELIST delist pressure with positive forecast growth (+4.0%). Basket role 'Solo' justifies short-term retention pending closer monitoring.,Maintain current distribution. Set performance trigger thresholds for the next review cycle. Avoid incremental investment.,"VitalStrand Damage Repair Shampoo 150ml is a below-average performer in Shampoo within Channel 'Offline', with a health score of 0.29 and a positive forecast growth (+4.0%). While commercial KPIs are under pressure — GMROI of 55 and delist score of 0.66 — the SKU's 'Solo' basket position (co-purchased alongside 0 co-purchased SKUs) provides a near-term justification for retention. Immediate delisting is not recommended. Set clear performance thresholds for the next review cycle and monitor sales velocity, GMROI, and substitution behavior closely before committing to further action."
SKU0055,Hair Oil,C,Channel,Offline,48025.51,7862.66,0.003595,1.0,0,0.0,1.0,0.75,0.7833,0.75,0.1167,0.4917,0.275,0.6575,0.2021,0.6723,95.4443,0.482,18.6851,0.6962,0.3402,382280.24,1.55,Stable,0.4173,0.2199,MID_HEALTH,MID_DELIST,HIGH_GMROI,FLAT,Solo,0.0,0.0,KEEP_WATCH,MID_HEALTH health (0.22) and MID_DELIST delist pressure with flat forecast (+1.6%). Basket role 'Solo' justifies short-term retention pending closer monitoring.,Maintain current distribution. Set performance trigger thresholds for the next review cycle. Avoid incremental investment.,"PureMane Argan Oil Hair Oil 500ml is a below-average performer in Hair Oil within Channel 'Offline', with a health score of 0.22 and a flat forecast (+1.6%). While commercial KPIs are under pressure — GMROI of 19 and delist score of 0.66 — the SKU's 'Solo' basket position (co-purchased alongside 0 co-purchased SKUs) provides a near-term justification for retention. Immediate delisting is not recommended. Set clear performance thresholds for the next review cycle and monitor sales velocity, GMROI, and substitution behavior closely before committing to further action."
SKU0011,Hair Oil,C,Channel,Offline,45640.28,13284.32,0.002318,1.0,0,0.0,1.0,0.7667,0.75,0.7667,0.1167,0.4917,0.275,0.6567,0.1921,1.1952,81.8663,0.4866,33.6117,0.5105,0.4792,371730.66,3.55,Upward,0.2971,0.2899,MID_HEALTH,MID_DELIST,HIGH_GMROI,GROWTH,Solo,0.0,0.0,KEEP_WATCH,MID_HEALTH health (0.29) and MID_DELIST delist pressure with positive forecast growth (+3.5%). Basket role 'Solo' justifies short-term retention pending closer monitoring.,Maintain current distribution. Set performance trigger thresholds for the next review cycle. Avoid incremental investment.,"NourishLab Argan Oil Hair Oil 250ml is a below-average performer in Hair Oil within Channel 'Offline', with a health score of 0.29 and a positive forecast growth (+3.5%). While commercial KPIs are under pressure — GMROI of 34 and delist score of 0.66 — the SKU's 'Solo' basket position (co-purchased alongside 0 co-purchased SKUs) provides a near-term justification for retention. Immediate delisting is not recommended. Set clear performance thresholds for the next review cycle and monitor sales velocity, GMROI, and substitution behavior closely before committing to further action."
SKU0028,Conditioner,C,Channel,Offline,250414.26,67883.01,0.019185,0.4161,0,1.0,1.0,0.5167,0.55,0.45,0.8,0.4917,0.8917,0.6492,0.416,0.853,126.1005,0.4666,46.8965,0.428,0.1813,373634.39,1.61,Stable,0.3892,0.1757,LOW_HEALTH,MID_DELIST,HIGH_GMROI,FLAT,Substitutable,1.0,0.0,PHASE_OUT,"Sharp forecast decline (+1.6%), LOW_HEALTH health (0.18), and MID_DELIST delist signal (0.65) indicate an unsustainable commercial trajectory.",Reduce shelf facings by ~50% at next planogram reset. Discontinue promotional support. Notify supply chain of planned exit.,"SilkenAura Keratin Conditioner 500ml is on a declining commercial trajectory in Conditioner within Channel 'Offline'. Health score of 0.18 and forecast growth of +1.6% indicate sustained deterioration that is unlikely to reverse organically. GMROI of 47 no longer justifies continued full-range support, while a delist score of 0.65 signals growing pressure for rationalization. Recommend initiating a phased exit: reduce shelf facings by approximately 50% at the next planogram reset, discontinue promotional support, and notify the supply chain of the planned deactivation timeline to minimize write-off exposure."
SKU0036,Shampoo,C,Channel,Offline,127449.85,20384.29,0.008909,0.5549,0,0.0,1.0,0.65,0.7167,0.6667,0.45,0.4917,0.275,0.645,0.3401,0.5246,79.0188,0.3347,15.0444,0.4172,0.4396,375693.27,3.02,Upward,0.3871,0.1884,LOW_HEALTH,MID_DELIST,MID_GMROI,GROWTH,Solo,0.0,0.0,PHASE_OUT,"Sharp forecast decline (+3.0%), LOW_HEALTH health (0.19), and MID_DELIST delist signal (0.65) indicate an unsustainable commercial trajectory.",Reduce shelf facings by ~50% at next planogram reset. Discontinue promotional support. Notify supply chain of planned exit.,"Revynce Biotin Shampoo 650ml is on a declining commercial trajectory in Shampoo within Channel 'Offline'. Health score of 0.19 and forecast growth of +3.0% indicate sustained deterioration that is unlikely to reverse organically. GMROI of 15 no longer justifies continued full-range support, while a delist score of 0.65 signals growing pressure for rationalization. Recommend initiating a phased exit: reduce shelf facings by approximately 50% at the next planogram reset, discontinue promotional support, and notify the supply chain of the planned deactivation timeline to minimize write-off exposure."
SKU0001,Shampoo,C,Channel,Offline,88758.24,25897.29,0.009039,0.5161,0,0.0,1.0,0.6833,0.6667,0.65,0.5,0.4917,0.275,0.6442,0.2369,0.957,100.2102,0.4816,41.2843,0.5235,0.2372,384505.82,2.08,Upward,0.3397,0.2011,LOW_HEALTH,MID_DELIST,HIGH_GMROI,FLAT,Solo,0.0,0.0,PHASE_OUT,"Sharp forecast decline (+2.1%), LOW_HEALTH health (0.20), and MID_DELIST delist signal (0.64) indicate an unsustainable commercial trajectory.",Reduce shelf facings by ~50% at next planogram reset. Discontinue promotional support. Notify supply chain of planned exit.,"EarthTress Color Protection Shampoo 250ml is on a declining commercial trajectory in Shampoo within Channel 'Offline'. Health score of 0.20 and forecast growth of +2.1% indicate sustained deterioration that is unlikely to reverse organically. GMROI of 41 no longer justifies continued full-range support, while a delist score of 0.64 signals growing pressure for rationalization. Recommend initiating a phased exit: reduce shelf facings by approximately 50% at the next planogram reset, discontinue promotional support, and notify the supply chain of the planned deactivation timeline to minimize write-off exposure."
SKU0059,Shampoo,C,Channel,Offline,64144.58,24566.03,0.006603,0.7577,0,0.0,1.0,0.7167,0.6833,0.7,0.25,0.4917,0.275,0.6367,0.1712,1.2561,77.4261,0.3992,48.0576,0.4782,0.5873,376503.17,3.42,Upward,0.4107,0.321,HIGH_HEALTH,MID_DELIST,HIGH_GMROI,GROWTH,Solo,0.0,0.0,CONTINUE,"Solid commercial health (0.32), HIGH_GMROI GMROI, and positive forecast growth (+3.4%) confirm core assortment status. Delist risk is low.",Maintain current planogram allocation and supply continuity. Protect from unnecessary rationalization pressure.,"NourishLab Argan Oil Shampoo 400ml is a solid C-class contributor to the Shampoo assortment within Channel 'Offline'. Health score of 0.32, GMROI of 48, and a positive forecast growth (+3.4%) confirm this SKU's core assortment role. Its 'Solo' basket position — co-purchased alongside 0 co-purchased SKUs — further reinforces retention value. No immediate intervention is required. Prioritize planogram stability and supply continuity to protect consistent consumer availability."
SKU0050,Conditioner,C,Channel,Offline,244365.96,87758.18,0.021972,0.3405,0,1.0,1.0,0.55,0.45,0.3333,0.9333,0.4917,0.8917,0.6317,0.4059,1.1301,145.9231,0.5203,81.7708,0.4942,0.3234,366816.96,0.64,Stable,0.3948,0.2682,MID_HEALTH,MID_DELIST,HIGH_GMROI,FLAT,Substitutable,1.0,0.0,KEEP_WATCH,MID_HEALTH health (0.27) and MID_DELIST delist pressure with flat forecast (+0.6%). Basket role 'Substitutable' justifies short-term retention pending closer monitoring.,Maintain current distribution. Set performance trigger thresholds for the next review cycle. Avoid incremental investment.,"GlossRoot Argan Oil Conditioner 250ml is a below-average performer in Conditioner within Channel 'Offline', with a health score of 0.27 and a flat forecast (+0.6%). While commercial KPIs are under pressure — GMROI of 82 and delist score of 0.63 — the SKU's 'Substitutable' basket position (co-purchased alongside 0 co-purchased SKUs) provides a near-term justification for retention. Immediate delisting is not recommended. Set clear performance thresholds for the next review cycle and monitor sales velocity, GMROI, and substitution behavior closely before committing to further action."
SKU0056,Conditioner,C,Channel,Offline,228236.02,95361.55,0.020787,0.4114,0,1.0,1.0,0.5833,0.4333,0.3833,0.8167,0.4917,0.8917,0.6308,0.3791,1.3147,117.7562,0.43,84.5115,0.7436,0.4165,377543.13,1.86,Stable,0.4197,0.3425,HIGH_HEALTH,MID_DELIST,HIGH_GMROI,FLAT,Substitutable,1.0,0.0,CONTINUE,"Solid commercial health (0.34), HIGH_GMROI GMROI, and flat forecast (+1.9%) confirm core assortment status. Delist risk is low.",Maintain current planogram allocation and supply continuity. Protect from unnecessary rationalization pressure.,"PureMane Biotin Conditioner 300ml is a solid C-class contributor to the Conditioner assortment within Channel 'Offline'. Health score of 0.34, GMROI of 85, and a flat forecast (+1.9%) confirm this SKU's core assortment role. Its 'Substitutable' basket position — co-purchased alongside 0 co-purchased SKUs — further reinforces retention value. No immediate intervention is required. Prioritize planogram stability and supply continuity to protect consistent consumer availability."
